id;found;x_invariant;y_invariant;x_value;y_value;violation;nodes;edges;graph6;phase;evaluations;elapsed_s
886;True;maximum_degree;triangle_number;6.0;40.0;5.0;16;35;O~~wGC@?G?_@?B?B_@w?^;template;4;0.1509106159210205
980;True;average_degree;clique_number;2.0583941605839415;4.0;0.6405109489051095;137;141;~?AHhCGGC@?G?_@?@??_?G?@??C??G??G?????@???G???_??@???@????_???G???@????K????G????G????E?????_????C?????G?????O?????O?????C?????@??????G??????O??????_??????_??????G??????A???????O???????_??????@???????@????????O???????C????????_???????@????????A????????A?????????_????????G????????@?????????A?????????C?????????C?????????@??????????O?????????A??????????C??????????G??????????G??????????A???????????_??????????C???????????G???????????O???????????O???????????C???????????@????????????G????????????O????????????_????????????_????????????G????????????A?????????????O?????????????_????????????@?????????????@??????????????O?????????????C??????????????_?????????????@??????????????A??????????????A???????????????_??????????????G??????????????@???????????????A???????????????C???????????????C???????????????@????????????????O???????????????A????????????????C????????????????G????????????????G????????????????A?????????????????_????????????????C?????????????????G?????????????????O?????????????????O?????????????????C????????????????????O???????????????G??????????????????O??????????????????_??????????????????_??????????????????G????????????????????????????????C?????O???????????????????_??????????????????@???????????????????@????????????????????O???????????????????C????????????????????_???????????????????@????????????????????A????????????????????A?????????????????????@???????????????????O?????????????????????????????A?????????????????????G???????@????_????????????????????o??????????????????????A??????????????????????_????????????????@????C?????????????????K;search;530;3.473672389984131
981;True;average_degree;clique_number;2.1037037037037036;5.0;1.4938271604938271;135;142;~?AFwCGGC@?G?_@?@??_?G?@??C??G??G??C??@???G???_??@???@????_???G???@????C????G????G????E?????_????C?????G?????O?????O?????C?????@??????G??????O??????_??????_??????G??????A???????O???????_??????@???????@????????O???????C????????_???????@????????A????????A?????????_????????G????????@?????????A?????????C?????????C?????????@??????????O?????????A??????????C??????????G??????????G??????????A???????????_??????????C???????????G???????????O???????????O???????????C???????????@????????????G????????????O????????????_????????????_????????????G????????????A?????????????O?????????????_????????????@????????????????????????????O?????????????C??????????????_?????????????@??????????????A??????????????A???????????????_??????????????G??????????????@???????????????A???????????????C???????????????C???????????????@????????????????O???????????????A????????????????C????????????????G????????????????G????????????????A?????????????????_????????????????C?????????????????G?????????????????O?????????????????O?????????????????C?????????????????@??????????????????G??????????????????O??????????????????_??????????????????_??????????????????G??????????????????A???????????????????O???????????????????_??????????????????@???????????????????@????????????????????O???????????????????C????????????????????_???????????????????@????????????????????A????????????????????A?????????????????????C???????G?????????@???????????O?????????????????????????_?O????C?????????????????????G????????????????@????G????????????????@_???C?????????????????w;search;493;2.908175230026245
1177;True;clique_number;average_degree;5.0;2.088235294117647;0.8450980392156859;136;142;~?AGhCGGC@?G?_@?@??_?G?@??C??G??G??C??@???G???_??@???@????_???G???@????C????G????G????E?????_????C?????G?????O?????O?????C?????@??????G??????O??????_??????_??????G??????A???????O???????_??????@???????@????????O???????C????????_???????@????????A????????A?????????_????????G????????@?????????A?????????C?????????C?????????@??????????O?????????A??????????C??????????G??????????G??????????A???????????_??????????C???????????G???????????O???????????O???????????C???????????@????????????G????????????O????????????_????????????_????????????G????????????A?????????????O?????????????_????????????@?????????????@??????????????O?????????????C????????????????????????????@??????????????A??????????????A???????????????_??????????????G??????????????@???????????????A???????????????C???????????????C???????????????@????????????????O???????????????A????????????????C????????????????G????????????????G????????????????A?????????????????_????????????????C?????????????????G?????????????????O?????????????????O?????????????????C?????????????????@??????????????????G??????????????????O??????????????????_??????????????????_??????????????????G??????????????????A???????????????????O???????????????????_??????????????????@???????????????????@????????????????????O???????????????????C????????????????????_???????????????????@????????????????????A????????????????????A???????????????????_????????????????????G?????????????????G?_??????????????????????O??????????@?????????@?????????????????????@???????????????????_??_??????????????????W??G??????????????????F;search;516;4.041422128677368
1178;True;clique_number;average_degree;5.0;2.1605839416058394;0.8394160583941606;137;148;~?AHhCGGC@?G?_@?@??_?G?@??C??G??G??C??@???G???_??@???@????_???G???@????C????G????G????E?????_????C?????G?????O?????O?????C?????@??????G??????O??????_??????_??????G??????A???????O???????_??????@???????@????????O???????C????????_???????@????????A????????A?????????_????????G????????@?????????A?????????C?????????C?????????@??????????O?????????A??????????C??????????G??????????G??????????A???????????_??????????C???????????G???????????O???????????O???????????C???????????@????????????G????????????O????????????_????????????_????????????G????????????A?????????????O?????????????_????????????@?????????????@??????????????O?????????????C??????????????_?????????????@??????????????A??????????????A???????????????_??????????????G??????????????@???????????????A???????????????C???????????????C???????????????@????????????????O???????????????A????????????????C????????????????G????????????????G????????????????A?????????????????_????????????????C?????????????????G?????????????????O?????????????????O?????????????????C?????????????????@??????????????????G??????????????????O??????????????????_??????????????????_??????????????????G??????????????????A???????????????????O???????????????????_??????????????????@???????????????????@????????????????????O???????????????????C????????????????????_???????????????????@????????????????????A????????????????????A?????????????????F?????????w??????????A????????G??????????????????????G??????????????????????????????@?????????????????????@????????????O?????????????????????G?????????G???????????A?????????B????????????O?????????[;search;507;3.1607861518859863
1191;True;clique_number;minimum_degree;2.0;25.0;19.569542568542566;50;625;q??????????????????????????????????????????????????~~~~~~~~v~~~{~~~~b~~~}F~~~{F~~~{B~~~}?~~~~_F~~~{?^~~~o?~~~~_?~~~~_?^~~~o?F~~~{??~~~~_?B~~~}??F~~~{??F~~~{??B~~~}???~~~~_??F~~~{???^~~~o???~~~~_???~~~~_????;template;8;0.23129582405090332
1466;True;domination_number;independent_domination_number;2.0;8.0;2.7724285714285735;17;16;PsaCCA?_A?G?O?O?G?A??O??;template;1;0.09819555282592773
1566;True;total_domination_number;independence_number;16.0;14.0;1.0;29;28;\hE?GC@_??_@?@_???G?@??E?????G??C??@_??????_??@???@_???????G???@????C;template;117;0.6830129623413086
1587;True;total_domination_number;matching_number;17.0;9.0;1.9999999999999982;25;24;Xh_GK?@?K??@?@_???G?@_????G??K?????@???K??????@???@;template;30;0.2851369380950928
1588;True;total_domination_number;matching_number;17.0;9.0;6.0;25;24;Xh_GK?@?K??@?@_???G?@_????G??K?????@???K??????@???@;template;7;0.12343883514404297
